28.23   -25.71  05 0 1 LM Pretoria
29.45   -23.89  05 0 1 LM Polokwane
26.15   -29.08  05 0 1 LM Bloemfontein
18.42   -33.92  05 0 1 LM Cape Town
31.02   -29.85  05 0 1 LM Durban
22.45   -33.99  05 0 1 LM George
17.89   -29.17  05 0 1 LM Springbok
22.58   -32.35  05 0 1 LM Beauford-Wes
17.08	-22.55	05 0 1 LM Windhoek			
31.05	-17.82	05 0 1 LM Harare
27.48	-29.31	05 0 1 LM Maseru			
25.91   -24.65  05 0 1 LM Gaborone
32.58   -25.97	05 0 1 LM Maputo			
47.54	-18.91	05 0 1 LM Antananarivo			
